time_new,AnkleAngle(deg),moment
0.94946617,6.81466273,-29.22042913
0.95,6.82200987,-29.35552196
0.95009768,6.85709445,-29.38580217
0.95019536,6.90176717,-29.41608182
0.95068375,6.90454252,-29.56747162
0.95255389,6.90731829,-30.14703448
0.955,6.92118459,-30.90478098
0.95504689,6.95083635,-30.91706006
0.95509379,6.97991007,-30.929339
0.95532825,6.98920042,-30.99073217
0.95650058,6.98976102,-31.29765675
0.95810848,6.99032168,-31.71862862
0.95971637,6.99312624,-32.13950723
0.96,7.00708752,-32.21373592
0.96007202,7.0212532,-32.23125291
0.96014403,7.05149811,-32.2487697
0.96050412,7.07772473,-32.33635001
0.96230454,7.07883605,-32.77416421
0.96449302,7.07994662,-33.30614788
0.965,7.08548741,-33.42935516
0.96514747,7.11281266,-33.46990044
0.96529494,7.14310442,-33.51044462
0.96603228,7.16366192,-33.71314898
0.96783832,7.16669544,-34.2095352
0.96964436,7.16972082,-34.70583224
0.97,7.18472973,-34.80363903
0.97014476,7.21192609,-34.84257105
0.97028951,7.23846636,-34.88150216
0.97101329,7.2426085,-35.07614354
0.97286378,7.24517141,-35.57367699
0.97471427,7.24773095,-36.07105721
0.975,7.26048386,-36.14784296
0.97517981,7.28712104,-36.19384293
0.97535963,7.31332415,-36.2398415
0.97625869,7.31756604,-36.46981377
0.97803803,7.32029374,-36.92485098
0.97981737,7.32301586,-37.37975326
0.98,7.33654219,-37.42643566
0.9802614,7.36133109,-37.49716857
0.9805228,7.38547792,-37.5678984
0.98182978,7.38844692,-37.9215014
0.98358437,7.39252496,-38.39697065
0.985,7.39658884,-38.78056948
0.9853414,7.41674079,-38.87978468
0.9856828,7.44073038,-38.97899523
0.98738981,7.45505943,-39.47497825
0.98974949,7.45859762,-40.16041053
0.99,7.4621244,-40.23316394
0.99037581,7.47963272,-40.33478309
0.99075161,7.5000666,-40.43639701
0.99262077,7.51814674,-40.94172084
0.995,7.52078979,-41.58489382
0.99527681,7.5234256,-41.64530288
0.99555362,7.53653372,-41.7057099
0.99693767,7.55474607,-42.0077142
0.99848144,7.57270314,-42.34450915
1,7.5780874,-42.67574052
1.00031773,7.58176922,-42.73648613
1.00063545,7.58543857,-42.79722939
1.00222408,7.6037113,-43.10091001
1.00384289,7.62217735,-43.41029876
1.005,7.63551266,-43.63140806
1.00526049,7.63825423,-43.67724546
1.00552098,7.64098884,-43.72308139
1.00682343,7.65461645,-43.95223895
1.00823499,7.67024473,-44.2007372
1.00964655,7.68570475,-44.44924273
1.01,7.69085883,-44.51146173
1.01026873,7.69379489,-44.54827575
1.01053746,7.69672699,-44.58508863
1.01188111,7.71140786,-44.76913578
1.01327485,7.72657427,-44.96001388
1.01466859,7.74166487,-45.15086111
1.015,7.74514389,-45.19623639
1.01517134,7.74692421,-45.21696573
1.01534268,7.74870433,-45.23769466
1.01619937,7.75762306,-45.34133312
1.0176703,7.77382483,-45.51925478
1.01914124,7.79014025,-45.69714596
1.02,7.79979227,-45.80090529
1.02021272,7.80142809,-45.82485613
1.02042543,7.8030646,-45.84880634
1.02148902,7.81126092,-45.96854744
1.02287527,7.82995464,-46.12459078
1.02426153,7.84862627,-46.28060622
1.025,7.85510167,-46.36370631
1.02527184,7.85617954,-46.39178802
1.02554368,7.85725894,-46.41986875
1.02690288,7.86268487,-46.56025759
1.02830578,7.88392792,-46.70513507
1.02970869,7.909993,-46.84998626
1.03,7.91396386,-46.88006126
1.03021611,7.91621002,-46.89929874
1.03043222,7.91846261,-46.91853568
1.03151276,7.92983442,-47.01471231
1.03291548,7.9483891,-47.13907335
1.03431821,7.96730079,-47.26287612
1.035,7.97816629,-47.32303957
1.03533067,7.98163327,-47.34780645
1.03566134,7.98511721,-47.37257198
1.0373147,8.00284744,-47.4963795
1.03896805,8.02239653,-47.62015351
1.04,8.04244083,-47.69739086
1.04010056,8.04814348,-47.70451805
1.04020113,8.04943621,-47.71164508
1.04070395,8.05073132,-47.7472786
1.04177429,8.05724582,-47.8231216
1.04209143,8.07219568,-47.84559122
1.04228917,8.07679479,-47.85960071
1.04244587,8.08203036,-47.87070224
1.04262497,8.08511959,-47.88339006
1.04265836,8.08845007,-47.88575554
1.04267704,8.08926646,-47.88707858
1.04268402,8.08987879,-47.88757326
1.04268733,8.09001727,-47.88780795
1.04269065,8.09005293,-47.88804261
1.04270721,8.09008858,-47.88921601
1.04279003,8.09026687,-47.89508293
1.04320412,8.091159,-47.92441636
1.04458216,8.09563595,-48.02201917
1.045,8.11778125,-48.05141515
1.04505578,8.1261677,-48.05380765
1.04511157,8.12701644,-48.05620007
1.04539049,8.12786604,-48.06816188
1.04658145,8.13212764,-48.11922792
1.0477724,8.15095429,-48.17028028
1.04896335,8.17030721,-48.22131892
1.05,8.19423069,-48.26573349
1.05005751,8.21307113,-48.2683255
1.05011501,8.21412646,-48.27091753
1.05040255,8.21518297,-48.28387695
1.05144118,8.22048428,-48.33068141
1.05247981,8.23896487,-48.37747495
1.05382165,8.25793238,-48.43791321
1.055,8.28538815,-48.49097233
1.05505826,8.30963194,-48.49278854
1.05511651,8.31137902,-48.49460478
1.05540779,8.31312894,-48.50368544
1.0568642,8.32192397,-48.54907935
1.05817189,8.35521654,-48.58875173
1.05947957,8.38461365,-48.62767353
1.06,8.41463682,-48.64315928
1.06008382,8.41648063,-48.64425091
1.06016764,8.41849651,-48.64534252
1.06058676,8.42051555,-48.65079986
1.06217749,8.43066184,-48.67150522
1.06352351,8.46696786,-48.68901545
1.06486953,8.49901328,-48.70651656
1.065,8.5316975,-48.70821251
1.06505824,8.53345549,-48.70974758
1.06511649,8.53494045,-48.71128256
1.06540771,8.53642687,-48.7189572
1.06686384,8.54388147,-48.75731943
1.06816543,8.5817659,-48.79159533
1.06946703,8.61493153,-48.82585677
1.07,8.64862403,-48.83983478
1.07004876,8.66021597,-48.84161893
1.07009751,8.66144225,-48.84340314
1.07034129,8.66266944,-48.85232342
1.07156017,8.66881941,-48.89691241
1.07287123,8.69994966,-48.9448501
1.07418229,8.73574131,-48.99276356
1.075,8.77216025,-49.02263509
1.07503701,8.79670699,-49.02489558
1.07507402,8.79780709,-49.02715605
1.07525908,8.7989078,-49.03845784
1.07618438,8.80442056,-49.09495557
1.07762563,8.83221832,-49.18291966
1.07906689,8.87274375,-49.27083818
1.08,8.91383597,-49.32773524
1.08024558,8.94225943,-49.35007175
1.08049116,8.9494506,-49.37240635
1.08171905,8.95666517,-49.48405102
1.08306944,8.99310213,-49.60612486
1.08441982,9.03468557,-49.7271312
1.085,9.07676577,-49.77909969
1.08522833,9.09619414,-49.80507002
1.08545666,9.10492965,-49.831038
1.08659832,9.11369204,-49.9608424
1.08796477,9.15790983,-50.11612834
1.08933123,9.20269532,-50.27132972
1.09,9.24785924,-50.34725817
1.09026446,9.25765233,-50.38221078
1.09052892,9.2666285,-50.41715976
1.0918512,9.27562753,-50.59185013
1.0932245,9.32098365,-50.77318257
1.09459779,9.36685584,-50.95441683
1.095,9.41303312,-51.00747738
1.09528056,9.42548074,-51.04606799
1.09556112,9.43695771,-51.08456827
1.09696392,9.44846054,-51.27700002
1.09836672,9.50391536,-51.4693157
1.09976951,9.55417589,-51.66151542
1.1,9.59822111,-51.6930837
1.10029277,9.60892391,-51.73087288
1.10058555,9.61963944,-51.76865717
1.10204942,9.67344406,-51.95750716
1.1035133,9.72132641,-52.14623741
1.10497717,9.76913502,-52.33484812
1.105,9.77368148,-52.33778884
1.10507469,9.77744886,-52.34800556
1.10514937,9.78121612,-52.35822206
1.10552281,9.80005307,-52.40929917
1.10712439,9.85604248,-52.62826513
1.10846656,9.90722444,-52.81167885
1.10980873,9.94886153,-52.99500826
1.11,9.95602865,-53.02112508
1.11013571,9.96319392,-53.03911603
1.11027142,9.99900806,-53.05710592
1.11094996,10.04481974,-53.14703966
1.11250394,10.09036647,-53.35290324
1.11405791,10.12197571,-53.55862872
1.115,10.12466378,-53.68328095
1.11506475,10.12735109,-53.69323224
1.11512949,10.14077701,-53.70318337
1.11545322,10.19207105,-53.75293453
1.11681872,10.236974,-53.96271361
1.11818422,10.28132201,-54.17237001
1.11954973,10.29101033,-54.38190361
1.12,10.29514184,-54.45097012
1.12013935,10.29926965,-54.47769518
1.12027871,10.31985383,-54.50444516
1.12097548,10.36957213,-54.63865273
1.12254605,10.43811347,-54.94103435
1.12411662,10.45301951,-55.24323184
1.125,10.45582198,-55.41312418
1.12512732,10.45862249,-55.43967781
1.12525464,10.47259842,-55.46623012
1.12589124,10.53434447,-55.59897211
1.12766118,10.59497112,-55.96786063
