time_new,AnkleAngle(deg),moment_newnew
1.17017234,11.442603,-63.95626455
1.1706032,11.46008723,-64.0290599
1.17227598,11.48131161,-64.31234562
1.17375222,11.4844182,-64.56551881
1.175,11.48560758,-64.7794712
1.175138,11.4867902,-64.80167319
1.175276,11.49260974,-64.82387475
1.17596601,11.50673265,-64.93487617
1.17764202,11.52252528,-65.20445031
1.17931803,11.52522818,-65.4739618
1.18,11.52687515,-65.583609
1.18022623,11.52850849,-65.61713609
1.18045246,11.53651428,-65.65066212
1.18158361,11.54603864,-65.81827647
1.18297757,11.5551137,-66.0247994
1.18437154,11.55902428,-66.23128225
1.185,11.56260159,-66.32493326
1.18524269,11.56613523,-66.35675236
1.18548538,11.57598381,-66.38857074
1.18669884,11.58550071,-66.54765177
1.18808293,11.58854885,-66.72908062
1.18946702,11.58876216,-66.91048597
1.19,11.58897526,-66.98033463
1.19004513,11.59003763,-66.98620482
1.19009026,11.59528082,-66.99207498
1.19031592,11.60349154,-67.02142539
1.1914442,11.61131762,-67.16816821
1.19282464,11.61468892,-67.34768616
1.19420508,11.61499406,-67.5271809
1.195,11.61529913,-67.63053131
1.19507211,11.61682405,-67.64130297
1.19514422,11.62448111,-67.65207456
1.19550476,11.63106433,-67.70593143
1.19700657,11.63756794,-67.93024758
1.19833902,11.63919178,-68.12919717
1.19967147,11.63961216,-68.32811395
1.2,11.64003345,-68.37715479
1.20014642,11.64215451,-68.40244164
1.20029283,11.65000047,-68.42772818
1.20102491,11.65690329,-68.55415552
1.20258353,11.6638665,-68.82329237
1.20414214,11.66510693,-69.09238967
1.205,11.66557083,-69.24048282
1.20510349,11.66603632,-69.25963143
1.20520697,11.66838988,-69.27877988
1.2057244,11.67728753,-69.37451924
1.20725489,11.6851183,-69.65767371
1.20856647,11.69316888,-69.90029747
1.20987805,11.69498461,-70.14276971
1.21,11.69550696,-70.16509594
1.2101071,11.69603112,-70.17901819
1.2102142,11.69868116,-70.19294021
1.21074969,11.70907658,-70.26254699
