Time,AnkleAngle(deg),ActuatorMoment
0.95609188,6.92118459,-31.3165284665425
0.95777469,6.95083635,-31.9420087191462
0.95945751,6.97991007,-32.5672913319833
0.96,6.98920042,-32.7688756398385
0.96003274,6.98976102,-32.7784695612531
0.96006548,6.99032168,-32.7880633937213
0.9602292,6.99312624,-32.8360311146903
0.96103958,7.00708752,-33.0734431893738
0.96184997,7.0212532,-33.3108001944789
0.96354405,7.05149811,-33.8068054084801
0.965,7.07772473,-34.232899718388
0.96506195,7.07883605,-34.249865370312
0.9651239,7.07994662,-34.2668307200809
0.96543364,7.08548741,-34.3516529988462
0.96698235,7.11281266,-34.7756513657441
0.96875632,7.14310442,-35.2610916703039
0.97,7.16366192,-35.6012704829864
0.9701858,7.16669544,-35.657544133125
0.97037159,7.16972082,-35.7138148372576
0.97130057,7.18472973,-35.995123261171
0.97301491,7.21192609,-36.5150580694521
0.97472925,7.23846636,-37.0349398531711
0.975,7.2426085,-37.1170266815342
0.97516784,7.24517141,-37.1696851780831
0.97533568,7.24773095,-37.2223414823556
0.97617488,7.26048386,-37.4855901065959
0.97794269,7.28712104,-38.0399525306538
0.9797105,7.31332415,-38.5940716539584
0.98,7.31756604,-38.6847926094609
0.98018665,7.32029374,-38.7439825965271
0.98037329,7.32301586,-38.8031698875768
0.98130652,7.33654219,-39.0990650324834
0.9830448,7.36133109,-39.650031520678
0.98478308,7.38547792,-40.2011716866253
0.985,7.38844692,-40.2700330017062
0.98529893,7.39252496,-40.3638526960038
0.98559785,7.39658884,-40.4576664712315
0.98709249,7.41674079,-40.9266457404808
0.98890016,7.44073038,-41.4936475494482
0.99,7.45505943,-41.8385221730943
0.99027408,7.45859762,-41.9190403356869
0.99054816,7.4621244,-41.999553796416
0.99191857,7.47963272,-42.4020505448763
0.99353823,7.5000666,-42.8776002586877
0.995,7.51814674,-43.3066541516997
0.99521633,7.52078979,-43.3634935643299
0.99543267,7.5234256,-43.4203303037514
0.99651434,7.53653372,-43.7044747379832
0.99802731,7.55474607,-44.1021758009046
0.99954027,7.57270314,-44.4998624091288
1,7.5780874,-44.6206809996418
1.00031608,7.58176922,-44.6916246800301
1.00063215,7.58543857,-44.7625639302088
1.00221253,7.6037113,-45.1171929248634
1.00382067,7.62217735,-45.4779367458417
1.005,7.63551266,-45.7424144465929
1.00524473,7.63825423,-45.7886640180654
1.00548945,7.64098884,-45.8349113643222
1.00671308,7.65461645,-46.0661139256823
1.00811975,7.67024473,-46.3318309941372
1.00952642,7.68570475,-46.5974867297962
1.01,7.69085883,-46.6871476790041
1.01027064,7.69379489,-46.7305593957849
1.01054129,7.69672699,-46.773968978542
1.0118945,7.71140786,-46.9909856538043
1.01328612,7.72657427,-47.214105337141
1.01467773,7.74166487,-47.4371697150753
1.015,7.74514389,-47.4888191880677
1.01516504,7.74692421,-47.5109542661188
1.01533008,7.74870433,-47.5330886903606
1.01615528,7.75762306,-47.6437509897815
1.01763864,7.77382483,-47.8426328108523
1.01912199,7.79014025,-48.0414617891641
1.02,7.79979227,-48.1591252127428
1.0201487,7.80142809,-48.1799550551543
1.0202974,7.8030646,-48.2007843435882
1.0210409,7.81126092,-48.3049224605936
1.02272832,7.82995464,-48.5407603301658
1.02441573,7.84862627,-48.7756364365207
1.025,7.85510167,-48.8569419673546
1.02509691,7.85617954,-48.8696252408605
1.02519382,7.85725894,-48.8823082512795
1.02567835,7.86268487,-48.9457194419244
1.02751859,7.88392792,-49.1864892729745
1.02967731,7.909993,-49.4688080713392
1.03,7.91396386,-49.5109980500039
1.03018184,7.91621002,-49.5324605828539
1.03036369,7.91846261,-49.5539222211878
1.03127291,7.92983442,-49.6612179328898
1.03272469,7.9483891,-49.8324948046356
1.03417646,7.96730079,-50.003718034084
1.035,7.97816629,-50.1005981621289
1.0352606,7.98163327,-50.1297486612714
1.0355212,7.98511721,-50.1588971383964
1.03682422,8.00284744,-50.3046090669885
1.03821705,8.02239653,-50.4603098518644
1.03960988,8.04244083,-50.6159528763728
1.04,8.04814348,-50.6595362572806
1.04008802,8.04943621,-50.6678265363661
1.04017604,8.05073132,-50.6761166181515
1.04061613,8.05724582,-50.7175641478425
1.0416074,8.07219568,-50.8109031554809
1.04190689,8.07679479,-50.8390987178944
1.04224486,8.08203036,-50.8709140303252
1.04244289,8.08511959,-50.8895549702571
1.04265532,8.08845007,-50.9095502441229
1.04270724,8.08926646,-50.9144363146364
1.04274613,8.08987879,-50.9180973860034
1.04275493,8.09001727,-50.918924853018
1.04275719,8.09005293,-50.9191378836087
1.04275945,8.09008858,-50.9193509149288
1.04277077,8.09026687,-50.9204159385874
1.04282735,8.091159,-50.9257411365945
1.04311025,8.09563595,-50.9523659107816
1.04448747,8.11778125,-51.081952758044
1.045,8.1261677,-51.1301664316211
1.04505159,8.12701644,-51.1340347954628
1.04510318,8.12786604,-51.1379031046296
1.04536113,8.13212764,-51.1572438311963
1.0464826,8.15095429,-51.2413142489037
1.04760406,8.17030721,-51.3250389047361
1.04895626,8.19423069,-51.4235252133038
1.05,8.21307113,-51.4995112540857
1.0500579,8.21412646,-51.5023484830096
1.05011579,8.21518297,-51.5051857334297
1.05040527,8.22048428,-51.5193707641768
1.05139919,8.23896487,-51.5680635699829
1.05239312,8.25793238,-51.6167373195798
1.05379304,8.28538815,-51.6852612746469
1.055,8.30963194,-51.7443097827262
1.05508597,8.31137902,-51.7467251295814
1.05517194,8.31312894,-51.7491403867078
1.0556018,8.32192397,-51.7612152237442
1.05719244,8.35521654,-51.8058765810571
1.05855485,8.38461365,-51.8441054572708
1.05991726,8.41463682,-51.8823115838384
1.06,8.41648063,-51.88463103102
1.06009033,8.41849651,-51.8858619599345
1.06018065,8.42051555,-51.8868973008389
1.06063228,8.43066184,-51.8919552379627
1.06221399,8.46696786,-51.9096538966091
1.06357089,8.49901328,-51.9248178223407
1.06492778,8.5316975,-51.9399643150967
1.065,8.53345549,-51.9407700597375
1.06506094,8.53494045,-51.9414424507553
1.06512188,8.53642687,-51.9421148065776
1.06542659,8.54388147,-51.9454759466028
1.06695014,8.5817659,-51.9622684462548
1.06825335,8.61493153,-51.9766150074569
1.06955656,8.64862403,-51.9909454733698
1.07,8.66021597,-51.9958180361803
1.07004674,8.66144225,-51.9967977718296
1.07009348,8.66266944,-51.9977774765844
1.07032716,8.66881941,-52.0026757725504
1.0714956,8.69994966,-52.0271555460558
1.07281028,8.73574131,-52.0545525070821
1.07412496,8.77216025,-52.0793394709569
1.075,8.79670699,-52.0958218381527
1.07503898,8.79780709,-52.0974357117296
1.07507796,8.7989078,-52.0990495439819
1.07527286,8.80442056,-52.1071180700049
1.07624738,8.83221832,-52.1474446181671
1.07764527,8.87274375,-52.2052447116398
1.07904316,8.91383597,-52.2629905628082
1.08,8.94225943,-52.302485942859
1.08024036,8.9494506,-52.3194283083814
1.08048073,8.95666517,-52.33636807888
1.08168254,8.99310213,-52.4210305206019
1.08303226,9.03468557,-52.5160385017358
1.08438198,9.07676577,-52.6109688268271
1.085,9.09619414,-52.6544105781161
1.08527658,9.10492965,-52.6808724674107
1.08555316,9.11369204,-52.7070298507944
1.08693606,9.15790983,-52.836534625605
1.08831895,9.20269532,-52.9659177689142
1.08970185,9.24785924,-53.0951789725374
1.09,9.25765233,-53.1230316633922
1.09027259,9.2666285,-53.1536473280494
1.09054518,9.27562753,-53.1842574391641
1.09190814,9.32098365,-53.3372245347622
1.0932711,9.36685584,-53.4900527907778
1.09463406,9.41303312,-53.6427422072111
1.095,9.42548074,-53.6837133794577
1.09533669,9.43695771,-53.7226980735743
1.09567338,9.44846054,-53.7616740396624
1.097285,9.50391536,-53.9481191024855
1.09873395,9.55417589,-54.114900291735
1.1,9.59822111,-54.2598326849162
1.100307,9.60892391,-54.2946056639863
1.100614,9.61963944,-54.3293710040715
1.10214901,9.67344406,-54.503082933803
1.10350974,9.72132641,-54.6569126552256
1.10487046,9.76913502,-54.8105924586467
1.105,9.77368148,-54.8252142361051
1.10510735,9.77744886,-54.8368999978464
1.10521469,9.78121612,-54.8485850244985
1.10575142,9.80005307,-54.9069960683756
1.10734553,9.85604248,-55.0803461691967
1.10880583,9.90722444,-55.2389702585962
1.11,9.94886153,-55.368561285808
1.11020594,9.95602865,-55.3926694631129
1.11041187,9.96319392,-55.4167742538575
1.11144155,9.99900806,-55.5377725219407
1.11276012,10.04481974,-55.6928561072753
1.11407869,10.09036647,-55.8477997541808
1.115,10.12197571,-55.9559794751241
1.11507853,10.12466378,-55.9666467790211
1.11515706,10.12735109,-55.9773135182563
1.11554971,10.14077701,-56.0306387453501
1.11705421,10.19207105,-56.2348313008737
1.11838109,10.236974,-56.4147454931502
1.11970797,10.28132201,-56.5944984798647
1.12,10.29101033,-56.634038446328
1.12012473,10.29514184,-56.654705744745
1.12024946,10.29926965,-56.6753713352639
1.1208731,10.31985383,-56.7786738408434
1.1223917,10.36957213,-57.0300435315019
1.12452803,10.43811347,-57.3852728743657
1.125,10.45301951,-57.4640553841057
1.12508896,10.45582198,-57.4799895148874
1.12517792,10.45862249,-57.4959228115846
1.12562271,10.47259842,-57.5755769396827
1.12760207,10.53434447,-57.9297934379852
1.12958143,10.59497112,-58.2835970024711
1.13,10.60760114,-58.3583622590817
1.13012316,10.61130546,-58.3816049119863
1.13024631,10.6150046,-58.4048460412188
1.13086209,10.63342483,-58.5210259835014
1.13256889,10.68381816,-58.8428309322232
1.13471574,10.74537251,-59.247144176334
1.135,10.75335092,-59.3006403702069
1.13517469,10.758236,-59.3350860862353
1.13534937,10.76310791,-59.3695284292187
1.13622281,10.78728151,-59.5423253294941
1.13769262,10.82727601,-59.8360703128672
1.13916242,10.86623967,-60.1296096531609
1.14,10.88793439,-60.2967925366954
1.14017661,10.89246505,-60.3319594521377
1.14035322,10.89698134,-60.3671234034359
1.14123628,10.91936037,-60.5428985489705
1.14268932,10.95547302,-60.8319684928934
1.14414236,10.99053313,-61.1208377392222
1.145,11.01067671,-61.2912446510467
1.14516433,11.01449208,-61.3241061392398
1.14532865,11.01829389,-61.3569651817443
1.14615029,11.03710708,-61.5212211021592
1.14779302,11.07374866,-61.8494327428174
1.14943575,11.10886052,-62.1801926541322
1.15,11.12054985,-62.2948047322448
1.15014777,11.12358294,-62.3251414268202
1.15029554,11.12660496,-62.3554765514207
1.15103439,11.14155896,-62.5071286381826
1.15267042,11.17379997,-62.842789419681
1.15430645,11.20463963,-63.1782578613784
1.155,11.21725012,-63.3204129071117
1.15509851,11.21902073,-63.339627355554
1.15519702,11.22078653,-63.3588411378119
1.15568958,11.22954731,-63.4548999655692
1.15734889,11.25831934,-63.778375077417
1.15889082,11.28391023,-64.0787975997565
1.16,11.3014965,-64.2948049151749
1.16008482,11.30281377,-64.3102497877411
1.16016963,11.30412737,-64.3256943046766
1.16059372,11.31064259,-64.4029095148323
1.16225123,11.33535613,-64.7083347467475
1.16367205,11.35552331,-64.9724301572349
